Score,UpCourt,DownCourt,Start,End,Comment
1_01_00,LIANG Wei Keng/WANG Chang,Fajar ALFIAN/Muhammad Rian ARDIANTO,12287,12609,0
1_02_00,LIANG Wei Keng/WANG Chang,Fajar ALFIAN/Muhammad Rian ARDIANTO,13451,13663,0
1_02_01,LIANG Wei Keng/WANG Chang,Fajar ALFIAN/Muhammad Rian ARDIANTO,14145,14281,0
1_03_01,LIANG Wei Keng/WANG Chang,Fajar ALFIAN/Muhammad Rian ARDIANTO,14663,15095,0
1_03_02,LIANG Wei Keng/WANG Chang,Fajar ALFIAN/Muhammad Rian ARDIANTO,16056,16589,0
1_04_02,LIANG Wei Keng/WANG Chang,Fajar ALFIAN/Muhammad Rian ARDIANTO,17294,17429,0
1_04_03,LIANG Wei Keng/WANG Chang,Fajar ALFIAN/Muhammad Rian ARDIANTO,17934,18106,0
1_05_03,LIANG Wei Keng/WANG Chang,Fajar ALFIAN/Muhammad Rian ARDIANTO,18542,18772,0
1_06_03,LIANG Wei Keng/WANG Chang,Fajar ALFIAN/Muhammad Rian ARDIANTO,19362,19462,0
1_07_03,LIANG Wei Keng/WANG Chang,Fajar ALFIAN/Muhammad Rian ARDIANTO,19789,19989,0
1_08_03,LIANG Wei Keng/WANG Chang,Fajar ALFIAN/Muhammad Rian ARDIANTO,20400,20514,0
1_09_03,LIANG Wei Keng/WANG Chang,Fajar ALFIAN/Muhammad Rian ARDIANTO,20905,21020,0
1_10_03,LIANG Wei Keng/WANG Chang,Fajar ALFIAN/Muhammad Rian ARDIANTO,21397,21504,0
1_11_03,LIANG Wei Keng/WANG Chang,Fajar ALFIAN/Muhammad Rian ARDIANTO,21891,22106,0
1_12_03,LIANG Wei Keng/WANG Chang,Fajar ALFIAN/Muhammad Rian ARDIANTO,24123,24419,0
1_12_04,LIANG Wei Keng/WANG Chang,Fajar ALFIAN/Muhammad Rian ARDIANTO,24792,24881,0
1_13_04,LIANG Wei Keng/WANG Chang,Fajar ALFIAN/Muhammad Rian ARDIANTO,25211,25282,0
1_14_04,LIANG Wei Keng/WANG Chang,Fajar ALFIAN/Muhammad Rian ARDIANTO,25760,25869,0
1_14_05,LIANG Wei Keng/WANG Chang,Fajar ALFIAN/Muhammad Rian ARDIANTO,26321,26554,0
1_14_06,LIANG Wei Keng/WANG Chang,Fajar ALFIAN/Muhammad Rian ARDIANTO,27145,27300,0
1_14_07,LIANG Wei Keng/WANG Chang,Fajar ALFIAN/Muhammad Rian ARDIANTO,27678,27780,0
1_15_07,LIANG Wei Keng/WANG Chang,Fajar ALFIAN/Muhammad Rian ARDIANTO,28220,28685,0
1_16_07,LIANG Wei Keng/WANG Chang,Fajar ALFIAN/Muhammad Rian ARDIANTO,29215,29394,0
1_17_07,LIANG Wei Keng/WANG Chang,Fajar ALFIAN/Muhammad Rian ARDIANTO,29786,30264,0
1_18_07,LIANG Wei Keng/WANG Chang,Fajar ALFIAN/Muhammad Rian ARDIANTO,30851,30972,0
1_18_08,LIANG Wei Keng/WANG Chang,Fajar ALFIAN/Muhammad Rian ARDIANTO,31255,31530,0
1_18_09,LIANG Wei Keng/WANG Chang,Fajar ALFIAN/Muhammad Rian ARDIANTO,31799,32090,0
1_19_09,LIANG Wei Keng/WANG Chang,Fajar ALFIAN/Muhammad Rian ARDIANTO,32822,33028,0
1_19_10,LIANG Wei Keng/WANG Chang,Fajar ALFIAN/Muhammad Rian ARDIANTO,33491,33648,0
1_20_10,LIANG Wei Keng/WANG Chang,Fajar ALFIAN/Muhammad Rian ARDIANTO,33932,34416,0
1_21_10,LIANG Wei Keng/WANG Chang,Fajar ALFIAN/Muhammad Rian ARDIANTO,34874,34991,0
2_01_00,Fajar ALFIAN/Muhammad Rian ARDIANTO,LIANG Wei Keng/WANG Chang,39426,39535,0
2_01_01,Fajar ALFIAN/Muhammad Rian ARDIANTO,LIANG Wei Keng/WANG Chang,39911,39992,0
2_01_02,Fajar ALFIAN/Muhammad Rian ARDIANTO,LIANG Wei Keng/WANG Chang,40398,40638,0
2_02_02,Fajar ALFIAN/Muhammad Rian ARDIANTO,LIANG Wei Keng/WANG Chang,41104,41338,0
2_03_02,Fajar ALFIAN/Muhammad Rian ARDIANTO,LIANG Wei Keng/WANG Chang,41960,42183,0
2_04_02,Fajar ALFIAN/Muhammad Rian ARDIANTO,LIANG Wei Keng/WANG Chang,42496,43198,0
2_05_02,Fajar ALFIAN/Muhammad Rian ARDIANTO,LIANG Wei Keng/WANG Chang,44158,44376,0
2_05_03,Fajar ALFIAN/Muhammad Rian ARDIANTO,LIANG Wei Keng/WANG Chang,44879,44983,0
2_05_04,Fajar ALFIAN/Muhammad Rian ARDIANTO,LIANG Wei Keng/WANG Chang,45450,45506,0
2_06_04,Fajar ALFIAN/Muhammad Rian ARDIANTO,LIANG Wei Keng/WANG Chang,46188,46303,0
2_06_05,Fajar ALFIAN/Muhammad Rian ARDIANTO,LIANG Wei Keng/WANG Chang,46744,46953,0
2_06_06,Fajar ALFIAN/Muhammad Rian ARDIANTO,LIANG Wei Keng/WANG Chang,48300,48444,0
2_06_07,Fajar ALFIAN/Muhammad Rian ARDIANTO,LIANG Wei Keng/WANG Chang,48942,49204,0
2_06_08,Fajar ALFIAN/Muhammad Rian ARDIANTO,LIANG Wei Keng/WANG Chang,49730,49819,0
2_07_08,Fajar ALFIAN/Muhammad Rian ARDIANTO,LIANG Wei Keng/WANG Chang,50254,50619,0
2_08_08,Fajar ALFIAN/Muhammad Rian ARDIANTO,LIANG Wei Keng/WANG Chang,51317,51435,0
2_08_09,Fajar ALFIAN/Muhammad Rian ARDIANTO,LIANG Wei Keng/WANG Chang,51869,51939,0
2_09_09,Fajar ALFIAN/Muhammad Rian ARDIANTO,LIANG Wei Keng/WANG Chang,52439,52794,0
2_09_10,Fajar ALFIAN/Muhammad Rian ARDIANTO,LIANG Wei Keng/WANG Chang,53726,54036,0
2_09_11,Fajar ALFIAN/Muhammad Rian ARDIANTO,LIANG Wei Keng/WANG Chang,54813,54929,0
2_09_12,Fajar ALFIAN/Muhammad Rian ARDIANTO,LIANG Wei Keng/WANG Chang,57406,57678,0
2_09_13,Fajar ALFIAN/Muhammad Rian ARDIANTO,LIANG Wei Keng/WANG Chang,58671,58767,0
2_10_13,Fajar ALFIAN/Muhammad Rian ARDIANTO,LIANG Wei Keng/WANG Chang,59314,59420,0
2_11_13,Fajar ALFIAN/Muhammad Rian ARDIANTO,LIANG Wei Keng/WANG Chang,59917,60006,0
2_11_14,Fajar ALFIAN/Muhammad Rian ARDIANTO,LIANG Wei Keng/WANG Chang,60408,60734,0
2_12_14,Fajar ALFIAN/Muhammad Rian ARDIANTO,LIANG Wei Keng/WANG Chang,61293,61390,0
2_13_14,Fajar ALFIAN/Muhammad Rian ARDIANTO,LIANG Wei Keng/WANG Chang,62012,62240,0
2_14_14,Fajar ALFIAN/Muhammad Rian ARDIANTO,LIANG Wei Keng/WANG Chang,63055,63584,0
2_15_14,Fajar ALFIAN/Muhammad Rian ARDIANTO,LIANG Wei Keng/WANG Chang,64703,65300,0
2_16_14,Fajar ALFIAN/Muhammad Rian ARDIANTO,LIANG Wei Keng/WANG Chang,67238,67398,0
2_17_14,Fajar ALFIAN/Muhammad Rian ARDIANTO,LIANG Wei Keng/WANG Chang,68140,68808,0
2_18_14,Fajar ALFIAN/Muhammad Rian ARDIANTO,LIANG Wei Keng/WANG Chang,70613,70897,0
2_18_15,Fajar ALFIAN/Muhammad Rian ARDIANTO,LIANG Wei Keng/WANG Chang,71692,71753,0
2_19_15,Fajar ALFIAN/Muhammad Rian ARDIANTO,LIANG Wei Keng/WANG Chang,72413,72484,0
2_19_16,Fajar ALFIAN/Muhammad Rian ARDIANTO,LIANG Wei Keng/WANG Chang,73075,73148,0
2_20_16,Fajar ALFIAN/Muhammad Rian ARDIANTO,LIANG Wei Keng/WANG Chang,73761,73913,0
2_20_17,Fajar ALFIAN/Muhammad Rian ARDIANTO,LIANG Wei Keng/WANG Chang,74803,75152,0
2_21_17,Fajar ALFIAN/Muhammad Rian ARDIANTO,LIANG Wei Keng/WANG Chang,75833,75981,0
