rally,ball_round,time,start_frame,end_frame,roundscore_AB,roundscore_CD,player,server,ball_type,backhand,hit_height,hit_x,hit_y,return_height,return_x,return_y,player_A_x,player_A_y,player_B_x,player_B_y,player_C_x,player_C_y,player_D_x,player_D_y,lose_reason,fault_player,score_reason,score_team,flaw,db
1,1,00:21:54,39440,39456,1,0,A,1,發短球,1,2,0,0,2,818,449,629,355,656,314,723,493,629,525,,,,,0,0
1,2,00:21:55,39456,39471,1,0,C,2,網前小球,0,2,818,449,2,648,343,652,364,669,314,743,475,635,522,,,,,0,0
1,3,00:21:55,39471,39478,1,0,B,2,平球,0,2,648,343,1,740,467,748,371,677,329,743,479,608,522,,,,,0,0
1,4,00:21:55,39478,39491,1,0,C,2,平球,0,1,740,467,1,727,319,741,373,673,329,746,488,567,528,,,,,0,0
1,5,00:21:56,39491,39517,1,0,B,3,網前小球,1,1,727,319,2,660,510,717,367,681,316,740,507,556,522,對手落地致勝,C,落地致勝,,0,0
2,1,00:22:11,39932,39956,1,1,A,1,發長球,1,2,0,0,1,477,538,662,353,643,315,679,539,548,489,,,,,0,0
2,2,00:22:11,39956,39974,1,1,D,3,殺球,0,1,477,538,2,436,297,706,348,629,316,649,549,537,535,對手落地致勝,B,落地致勝,CD,0,0
3,1,00:22:26,40409,40425,1,2,D,1,發短球,1,2,0,0,2,659,386,727,351,635,318,666,561,629,485,,,,,0,0
3,2,00:22:27,40425,40441,1,2,A,2,網前小球,0,2,659,386,1,477,483,715,372,641,322,646,551,637,479,,,,,0,0
3,3,00:22:28,40441,40452,1,2,D,2,推撲球,0,1,477,483,2,597,319,672,374,639,318,619,554,596,476,,,,,0,0
3,4,00:22:28,40452,40470,1,2,B,2,平球,0,2,597,319,1,762,530,655,370,647,317,542,492,602,548,,,,,0,0
3,5,00:22:29,40470,40484,1,2,C,2,平球,0,1,762,530,2,786,317,649,350,671,311,670,546,580,482,,,,,0,0
3,6,00:22:29,40484,40506,1,2,B,2,挑球,1,2,786,317,1,511,555,615,346,678,315,723,546,621,475,,,,,0,0
3,7,00:22:30,40506,40515,1,2,C,2,殺球,0,1,511,555,2,564,329,560,322,723,326,637,549,641,479,,,,,0,0
3,8,00:22:30,40515,40532,1,2,A,2,平球,1,2,564,329,1,491,507,548,314,707,327,553,548,598,501,,,,,0,0
3,9,00:22:31,40532,40542,1,2,D,2,推撲球,0,1,491,507,2,530,307,531,306,698,323,427,582,550,509,,,,,0,0
3,10,00:22:31,40542,40566,1,2,A,2,挑球,1,2,530,307,1,449,556,531,303,699,321,453,577,526,511,,,,,0,0
3,11,00:22:32,40566,40578,1,2,C,2,殺球,0,1,449,556,2,767,319,527,310,702,316,486,567,593,500,,,,,0,0
3,12,00:22:32,40578,40594,1,2,B,2,平球,1,2,767,319,1,705,499,532,307,709,314,432,550,596,506,,,,,0,0
