rally,ball_round,time,start_frame,end_frame,roundscore_AB,roundscore_CD,player,server,ball_type,backhand,hit_height,hit_x,hit_y,return_height,return_x,return_y,player_A_x,player_A_y,player_B_x,player_B_y,player_C_x,player_C_y,player_D_x,player_D_y,lose_reason,fault_player,score_reason,score_team,flaw,db
1,1,00:06:50,12308,12327,1,0,C,1,發短球,1,2,0,0,2,672,433,641,530,711,495,624,356,655,324,,,,,0,0
1,2,00:06:50,12327,12343,1,0,B,2,小平球,1,2,672,433,2,779,329,643,532,704,477,614,357,656,320,,,,,0,0
1,3,00:06:51,12343,12351,1,0,D,2,防守回抽,1,2,779,329,1,658,463,654,543,681,460,657,359,720,322,,,,,0,0
1,4,00:06:51,12351,12364,1,0,B,2,推撲球,0,1,658,463,2,763,316,637,558,650,469,645,344,758,329,,,,,0,0
1,5,00:06:52,12364,12388,1,0,D,2,擋小球,0,2,763,316,2,750,455,615,558,592,491,603,324,765,323,,,,,0,0
1,6,00:06:52,12388,12414,1,0,B,2,放小球,0,2,750,455,2,683,380,641,560,675,486,606,315,779,318,,,,,0,0
1,7,00:06:53,12414,12462,1,0,D,2,挑球,0,2,683,380,1,818,624,653,559,681,462,605,323,723,352,,,,,0,0
1,8,00:06:55,12462,12481,1,0,A,2,殺球,0,1,818,624,2,504,342,786,627,707,511,594,318,751,316,,,,,0,0
1,9,00:06:56,12481,12506,1,0,C,2,防守回抽,0,2,504,342,1,502,608,780,608,648,515,578,319,718,309,,,,,0,0
1,10,00:06:56,12506,12517,1,0,A,2,殺球,0,1,502,608,2,522,312,542,612,557,518,541,311,689,316,,,,,0,0
1,11,00:06:57,12517,12543,1,0,C,2,防守回挑,1,2,522,312,1,685,547,461,598,557,522,521,306,689,316,,,,,0,0
1,12,00:06:58,12543,12554,1,0,B,2,殺球,0,1,685,547,2,625,316,467,560,679,550,580,302,707,315,,,,,0,0
1,13,00:06:58,12554,12591,1,0,C,3,擋小球,1,2,625,316,2,314,513,532,525,700,575,610,305,712,311,出界,C,對手出界,,0,0
2,1,00:07:29,13486,13517,2,0,A,1,發長球,1,2,0,0,1,813,305,625,484,640,560,621,326,722,351,,,,,0,0
2,2,00:07:30,13517,13566,2,0,D,2,長球,0,1,813,305,1,962,636,639,489,687,564,645,323,717,322,,,,,0,0
2,3,00:07:32,13566,13580,2,0,B,2,殺球,0,1,962,636,2,725,326,687,520,886,645,603,313,772,314,,,,,0,0
2,4,00:07:32,13580,13603,2,0,D,2,防守回挑,1,2,725,326,1,809,619,672,516,914,648,601,318,742,317,,,,,0,0
2,5,00:07:33,13603,13615,2,0,B,2,殺球,0,1,809,619,2,678,334,666,521,748,632,590,311,733,315,,,,,0,0
2,6,00:07:33,13615,13627,2,0,D,2,防守回抽,0,2,678,334,1,758,498,668,522,761,592,587,311,740,321,,,,,0,0
2,7,00:07:34,13627,13652,2,0,B,3,推撲球,0,1,758,498,2,752,400,684,522,674,585,588,309,729,316,對手落地致勝,D,落地致勝,,0,0
3,1,00:07:52,14166,14186,2,1,A,1,發短球,1,2,0,0,2,458,379,660,483,631,564,577,350,643,332,,,,,0,0
3,2,00:07:52,14186,14203,2,1,C,2,放小球,0,2,458,379,2,447,426,634,490,601,561,565,361,642,328,,,,,0,0
3,3,00:07:53,14203,14222,2,1,B,2,推撲球,1,2,447,426,1,481,322,506,449,560,551,548,373,626,327,,,,,0,0
3,4,00:07:54,14222,14238,2,1,D,2,平球,0,1,481,322,2,429,566,470,450,580,552,625,361,574,318,,,,,0,0
3,5,00:07:54,14238,14250,2,1,B,2,平球,1,2,429,566,1,531,344,532,467,578,570,679,344,506,335,,,,,0,0
3,6,00:07:55,14250,14269,2,1,D,3,推撲球,0,1,531,344,2,775,600,584,486,485,572,708,335,523,336,對手落地致勝,B,落地致勝,CD,0,0
4,1,00:08:09,14682,14698,3,1,D,1,發短球,1,2,0,0,2,639,450,656,529,530,493,629,312,653,352,,,,,0,0
4,2,00:08:09,14698,14713,3,1,B,2,放小球,0,2,639,450,2,670,400,655,527,537,478,639,311,647,360,,,,,0,0
4,3,00:08:10,14713,14726,3,1,D,2,放小球,1,2,670,400,2,632,425,655,526,583,454,653,316,625,375,,,,,0,0
4,4,00:08:10,14726,14745,3,1,B,2,放小球,1,2,632,425,2,828,381,639,529,606,459,660,316,643,368,,,,,0,0
4,5,00:08:11,14745,14790,3,1,D,2,挑球,1,2,828,381,1,801,621,645,539,667,464,686,320,702,372,,,,,0,0
4,6,00:08:13,14790,14811,3,1,A,2,切球,0,1,801,621,2,743,341,762,634,690,510,596,312,746,317,,,,,0,0
4,7,00:08:13,14811,14852,3,1,D,2,挑球,1,2,743,341,1,528,610,732,605,655,500,591,319,733,320,,,,,0,0
4,8,00:08:15,14852,14867,3,1,A,2,殺球,0,1,528,610,2,517,318,504,615,540,509,518,308,694,321,,,,,0,0
4,9,00:08:15,14867,14886,3,1,C,2,防守回抽,1,2,517,318,1,504,557,463,630,557,526,504,314,694,319,,,,,0,0
4,10,00:08:16,14886,14901,3,1,B,2,擋小球,1,1,504,557,2,624,376,498,581,659,533,518,312,673,325,,,,,0,0
4,11,00:08:16,14901,14930,3,1,D,2,放小球,1,2,624,376,2,416,458,510,541,676,534,566,310,638,347,,,,,0,0
4,12,00:08:17,14930,14976,3,1,A,2,挑球,1,2,416,458,1,794,294,454,510,662,544,645,302,604,363,,,,,0,0
4,13,00:08:19,14976,14986,3,1,C,2,殺球,0,1,794,294,2,848,536,539,529,780,550,797,291,721,344,,,,,0,0
4,14,00:08:19,14986,15010,3,1,B,2,防守回抽,1,2,848,536,1,752,305,556,526,777,552,796,289,713,338,,,,,0,0
4,15,00:08:20,15010,15021,3,1,C,2,殺球,0,1,752,305,,826,541,532,541,784,562,751,305,714,336,,,,,0,0
4,16,00:08:20,15021,15034,3,1,B,2,防守回抽,1,2,826,541,1,615,343,529,544,797,569,711,311,701,341,,,,,0,0
4,17,00:08:21,15034,15045,3,1,D,2,推撲球,0,1,615,343,2,684,546,534,548,776,566,748,312,665,344,,,,,0,0
4,18,00:08:21,15045,15057,3,1,B,2,防守回抽,1,2,684,546,1,737,341,529,554,774,572,740,315,620,348,,,,,0,0
4,19,00:08:21,15057,15063,3,1,D,3,推撲球,0,1,737,341,2,666,424,531,551,778,568,740,317,659,345,未過網,D,對手未過網,,0,0
5,1,00:08:55,16059,16076,3,2,B,1,發短球,1,2,0,0,2,663,375,659,549,621,492,626,324,725,351,,,,,0,0
5,2,00:08:55,16076,16087,3,2,D,2,推撲球,0,2,663,375,2,659,544,657,545,628,485,628,321,710,362,,,,,0,0
5,3,00:08:56,16087,16108,3,2,A,2,擋小球,1,2,659,544,,509,344,667,548,613,485,644,319,711,376,,,,,0,0
5,4,00:08:56,16108,16138,3,2,C,2,挑球,0,2,509,344,1,768,582,656,553,535,510,596,326,704,359,,,,,0,0
5,5,00:08:57,16138,16149,3,2,A,2,殺球,0,1,768,582,2,763,321,758,590,525,568,598,321,723,325,,,,,0,0
5,6,00:08:58,16149,16171,3,2,D,2,防守回抽,1,2,763,321,1,816,557,790,632,582,545,593,321,715,316,,,,,0,0
5,7,00:08:59,16171,16183,3,2,A,2,平球,0,1,816,557,2,804,323,739,585,660,493,603,316,738,316,,,,,0,0
5,8,00:08:59,16183,16200,3,2,D,2,平球,1,2,804,323,1,872,516,736,561,645,499,588,318,737,326,,,,,0,0
5,9,00:09:00,16200,16210,3,2,A,2,推撲球,0,1,872,516,2,796,321,773,535,616,507,615,312,754,320,,,,,0,0
5,10,00:09:00,16210,16243,3,2,D,2,防守回挑,1,2,796,321,1,928,600,808,518,603,509,625,312,763,317,,,,,0,0
5,11,00:09:01,16243,16258,3,2,A,2,殺球,0,1,928,600,2,665,329,874,610,651,539,599,315,760,317,,,,,0,0
5,12,00:09:01,16258,16294,3,2,C,2,防守回挑,1,2,665,329,1,411,597,871,648,653,518,600,320,752,319,,,,,0,0
5,13,00:09:03,16294,16332,3,2,A,2,長球,1,1,411,597,1,746,293,524,605,547,524,558,311,671,337,,,,,0,0
5,14,00:09:04,16332,16341,3,2,C,2,殺球,0,1,746,293,2,797,554,538,554,768,565,731,292,730,344,,,,,0,0
5,15,00:09:04,16341,16355,3,2,B,2,防守回抽,1,2,797,554,1,799,343,571,555,797,577,768,290,712,342,,,,,0,0
5,16,00:09:05,16355,16366,3,2,D,2,推撲球,0,1,799,343,2,828,535,581,548,817,575,810,296,732,340,,,,,0,0
5,17,00:09:05,16366,16377,3,2,B,2,防守回抽,1,2,828,535,1,582,350,585,538,797,565,777,297,743,341,,,,,0,0
5,18,00:09:05,16377,16400,3,2,D,2,擋小球,0,1,582,350,2,511,463,575,539,775,537,710,303,689,347,,,,,0,0
5,19,00:09:06,16400,16434,3,2,A,2,挑球,1,2,511,463,1,531,291,515,509,653,538,637,311,581,355,,,,,0,0
5,20,00:09:07,16434,16456,3,2,C,2,切球,0,1,531,291,2,619,470,486,554,691,537,577,287,588,341,,,,,0,0
5,21,00:09:08,16456,16492,3,2,B,2,挑球,1,2,619,470,1,780,292,501,542,675,520,561,286,624,341,,,,,0,0
5,22,00:09:09,16492,16504,3,2,C,2,殺球,0,1,780,292,2,741,541,565,542,756,551,763,285,715,340,,,,,0,0
5,23,00:09:10,16504,16526,3,2,B,2,防守回抽,1,2,741,541,1,804,350,561,546,754,553,780,297,694,337,,,,,0,0
5,24,00:09:10,16526,16536,3,2,D,2,推撲球,1,1,804,350,2,793,549,552,544,776,564,746,308,677,352,,,,,0,0
5,25,00:09:11,16536,16572,3,2,B,3,擋小球,1,2,793,549,2,878,342,556,546,785,568,729,319,740,368,出界,B,對手出界,CD,0,0
6,1,00:09:37,17312,17328,4,2,C,1,發短球,1,2,0,0,2,678,441,722,493,604,550,625,357,652,323,,,,,0,0
6,2,00:09:37,17328,17350,4,2,A,2,小平球,1,2,678,441,2,496,326,704,475,603,550,645,366,665,319,,,,,0,0
6,3,00:09:38,17350,17369,4,2,D,2,平球,0,2,496,326,1,470,541,669,472,614,558,655,362,590,327,,,,,0,0
6,4,00:09:38,17369,17380,4,2,B,2,平球,1,1,470,541,2,629,340,647,490,536,556,694,336,549,324,,,,,0,0
6,5,00:09:39,17380,17407,4,2,C,3,擋小球,0,2,629,340,2,523,413,622,494,497,543,697,342,544,326,掛網,C,對手掛網,,0,0
7,1,00:09:58,17945,17968,4,3,A,1,發短球,1,2,0,0,1,501,365,656,485,632,565,572,349,647,327,,,,,0,0
7,2,00:09:58,17968,17979,4,3,C,2,小平球,0,1,501,365,2,621,468,644,477,621,560,573,352,645,326,,,,,0,0
7,3,00:09:59,17979,17992,4,3,A,2,小平球,1,2,621,468,2,685,336,637,479,628,552,572,372,640,336,,,,,0,0
7,4,00:09:59,17992,18010,4,3,D,2,平球,0,2,685,336,2,831,556,636,484,648,547,592,372,675,332,,,,,0,0
