index,x,y
21,531,308
22,521,303
23,521,302
24,507,293
25,496,287
26,486,285
27,480,282
28,475,282
29,475,282
30,468,285
31,460,283
32,456,285
33,451,287
37,435,286
38,432,285
39,431,287
40,420,293
41,420,293
42,418,293
43,416,298
44,413,303
45,412,310
46,411,316
47,408,318
48,407,327
49,406,336
50,405,346
51,452,302
57,545,242
58,552,243
59,553,243
60,546,256
61,548,263
63,488,283
70,546,355
71,546,357
72,548,370
73,551,386
74,551,398
90,763,251
91,771,253
92,776,256
93,782,261
94,787,266
95,788,268
96,792,272
97,796,277
98,803,276
99,808,246
100,813,228
101,815,227
102,818,211
103,823,196
104,828,186
105,831,176
106,835,170
107,836,168
108,838,163
109,843,160
110,846,158
111,848,156
112,851,157
113,852,158
114,855,160
115,857,163
116,861,168
117,863,175
118,866,181
119,866,183
120,867,191
121,871,202
122,871,213
123,873,226
124,876,240
125,876,242
126,876,256
127,878,273
128,880,290
129,881,308
130,882,325
131,882,327
132,883,346
133,883,363
134,886,383
135,885,405
136,887,422
137,887,427
138,887,447
139,888,468
140,847,533
145,632,347
146,607,338
147,586,332
148,570,328
149,568,327
150,551,326
151,537,323
152,526,325
153,516,326
154,506,327
155,503,328
156,496,331
157,490,337
158,486,341
159,483,343
160,485,342
161,485,345
162,483,347
163,482,352
164,481,357
165,481,363
166,480,372
167,478,376
168,478,383
169,478,396
170,477,410
171,477,411
172,478,412
173,478,412
174,478,411
175,478,410
176,478,412
177,478,412
178,478,412
179,478,412
180,485,417
