index,x,y
10,657,283
11,657,283
12,658,283
13,657,281
14,657,281
22,621,218
23,608,201
24,598,185
25,590,171
26,581,163
27,578,161
28,571,151
29,566,146
30,556,137
31,550,135
32,545,132
33,540,132
34,535,132
35,530,132
36,523,133
37,517,136
38,512,140
39,511,141
40,506,146
41,501,153
42,495,163
43,490,172
44,485,182
45,483,186
46,478,196
47,473,210
48,470,225
49,466,240
50,463,253
51,461,256
52,458,272
53,455,288
54,451,307
65,688,255
66,698,256
67,705,261
68,712,265
69,712,265
70,721,268
71,726,273
72,731,278
73,736,283
74,741,290
75,743,291
76,746,291
77,750,291
78,751,288
79,752,283
81,755,281
82,756,283
83,755,282
84,756,282
85,756,282
86,756,281
87,756,281
88,756,280
89,755,281
