index,x,y
21,610,301
23,593,265
24,578,232
25,566,207
26,556,187
27,546,171
28,546,167
29,537,156
30,530,141
31,521,131
32,515,122
33,511,116
34,510,115
35,503,110
36,501,107
37,496,103
38,491,102
39,488,102
40,487,102
41,483,103
42,481,105
43,478,108
44,476,113
45,475,117
46,473,118
47,473,123
48,471,131
49,468,138
50,467,146
51,467,156
52,467,157
53,500,173
54,521,188
55,542,201
56,560,211
57,573,221
58,575,223
59,587,233
60,600,243
61,611,256
62,621,267
63,632,277
64,632,277
71,626,315
80,602,342
81,602,347
82,603,351
83,601,360
84,602,372
85,601,383
86,601,396
