Score,UpCourt,DownCourt,Start,End,Comment
1_01_00,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,LIANG Wei Keng/WANG Chang,10536,10932,0
1_01_01,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,LIANG Wei Keng/WANG Chang,11304,11867,0
1_02_01,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,LIANG Wei Keng/WANG Chang,12675,13031,0
1_03_01,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,LIANG Wei Keng/WANG Chang,13434,13882,0
1_03_02,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,LIANG Wei Keng/WANG Chang,14627,14819,0
1_04_02,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,LIANG Wei Keng/WANG Chang,15224,15297,0
1_04_03,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,LIANG Wei Keng/WANG Chang,15584,15693,0
1_05_03,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,LIANG Wei Keng/WANG Chang,16005,16184,0
1_06_03,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,LIANG Wei Keng/WANG Chang,16562,16661,0
1_07_03,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,LIANG Wei Keng/WANG Chang,17027,17153,0
1_07_04,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,LIANG Wei Keng/WANG Chang,17588,17656,0
1_07_05,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,LIANG Wei Keng/WANG Chang,18016,18119,0
1_07_06,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,LIANG Wei Keng/WANG Chang,18434,19211,0
1_07_07,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,LIANG Wei Keng/WANG Chang,19908,20254,0
1_08_07,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,LIANG Wei Keng/WANG Chang,20783,20892,0
1_09_07,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,LIANG Wei Keng/WANG Chang,21332,21671,0
1_09_08,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,LIANG Wei Keng/WANG Chang,22113,22257,0
1_10_08,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,LIANG Wei Keng/WANG Chang,23553,23793,0
1_10_09,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,LIANG Wei Keng/WANG Chang,24571,24733,0
1_10_10,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,LIANG Wei Keng/WANG Chang,25168,25302,0
1_11_10,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,LIANG Wei Keng/WANG Chang,25634,25813,0
1_12_10,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,LIANG Wei Keng/WANG Chang,27955,28083,0
1_12_11,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,LIANG Wei Keng/WANG Chang,28302,28623,0
1_13_11,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,LIANG Wei Keng/WANG Chang,29356,29872,0
1_14_11,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,LIANG Wei Keng/WANG Chang,30600,30770,0
1_14_12,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,LIANG Wei Keng/WANG Chang,31206,31364,0
1_15_12,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,LIANG Wei Keng/WANG Chang,31788,32112,1
1_15_13,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,LIANG Wei Keng/WANG Chang,32582,33176,0
1_16_13,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,LIANG Wei Keng/WANG Chang,34033,34181,0
1_16_14,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,LIANG Wei Keng/WANG Chang,35441,35522,0
1_16_15,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,LIANG Wei Keng/WANG Chang,35807,36029,0
1_16_16,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,LIANG Wei Keng/WANG Chang,36582,36772,0
1_16_17,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,LIANG Wei Keng/WANG Chang,37480,37829,0
1_17_17,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,LIANG Wei Keng/WANG Chang,38391,38517,0
1_18_17,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,LIANG Wei Keng/WANG Chang,39039,39138,0
1_19_17,Kevin Sanjaya SUKAMULJO/Marcus Fernaldi GIDEON,LIANG Wei Keng/WANG Chang,39658,39824,0
