index,x,y
20,671,280
21,678,277
23,685,275
24,690,273
25,695,277
26,700,281
27,703,286
28,708,291
29,708,291
30,715,298
31,718,303
32,722,313
33,726,323
34,716,306
35,715,305
36,705,285
37,697,270
38,691,261
39,685,256
51,653,337
56,606,300
57,593,281
58,586,270
59,583,267
60,577,253
61,568,248
62,565,245
63,561,241
64,557,240
65,553,240
66,545,242
67,533,243
68,523,250
69,515,257
70,507,263
71,505,265
72,496,273
73,486,281
74,480,290
75,472,301
76,467,310
77,463,313
78,458,325
79,455,336
80,447,353
81,442,365
82,438,378
83,436,378
86,435,337
87,441,305
88,446,282
89,446,281
90,451,261
91,456,247
92,458,235
93,462,227
94,465,223
95,466,220
96,468,216
97,471,213
98,473,211
99,476,211
100,480,212
101,480,212
102,482,213
103,492,217
104,498,221
105,511,226
109,522,231
133,611,268
134,623,266
135,632,266
136,641,266
137,645,267
138,655,270
139,665,272
149,676,283
150,687,373
151,676,382
152,666,390
153,658,398
194,561,308
195,558,300
200,540,278
201,537,277
202,537,278
203,538,277
204,538,278
205,538,280
210,505,285
211,495,286
212,488,290
213,477,293
214,468,296
215,466,297
216,458,301
217,451,310
218,443,317
219,438,326
220,433,333
221,431,336
222,426,347
223,421,358
224,415,371
225,411,383
226,406,396
227,405,398
228,401,411
229,398,417
230,415,357
231,422,317
232,428,296
233,432,291
234,436,272
235,441,258
236,443,247
237,448,237
238,451,231
239,451,231
240,457,225
241,461,221
242,462,221
243,466,218
244,467,220
250,481,225
251,481,225
252,480,227
253,478,230
254,480,235
255,480,238
256,480,242
257,480,245
258,481,250
259,481,257
260,481,266
261,480,273
262,481,283
263,481,286
264,482,297
265,482,311
266,482,320
267,482,332
270,485,291
271,486,277
272,486,266
273,487,255
274,487,248
275,488,245
276,491,240
277,491,237
278,491,235
279,491,233
295,640,335
296,650,346
297,660,360
300,717,296
301,737,270
302,752,252
303,766,238
304,776,228
305,778,227
306,786,221
307,793,216
308,801,211
309,808,210
310,811,208
311,813,208
312,818,208
313,823,211
314,828,213
315,831,216
316,836,218
317,836,221
318,840,223
319,843,228
320,846,236
321,851,243
322,853,248
323,853,251
324,857,257
325,861,266
326,863,276
327,865,283
328,866,290
329,866,291
