index,x,y
20,637,260
21,627,250
22,615,240
23,613,236
24,602,227
25,592,218
26,583,213
27,573,208
28,567,206
29,566,207
30,558,205
31,551,203
32,543,206
33,538,208
34,533,211
35,531,212
36,525,216
37,518,223
38,512,231
39,506,240
40,503,248
41,502,250
42,497,258
43,491,271
44,487,283
60,561,232
61,557,233
62,665,408
63,555,236
64,552,238
65,551,240
66,550,242
67,550,247
74,483,275
75,478,278
76,473,278
77,472,278
78,468,280
79,463,285
80,461,291
83,457,297
84,451,277
85,448,271
86,445,255
87,443,247
88,441,243
89,441,242
90,440,237
91,438,235
92,438,233
93,437,233
94,436,233
95,436,233
96,437,236
97,436,241
98,436,245
99,436,251
100,436,256
101,437,257
102,436,263
103,437,263
117,737,288
118,742,287
119,743,286
120,748,285
121,753,285
122,757,283
123,492,257
124,490,251
125,762,280
126,763,278
127,766,278
128,767,276
129,768,276
130,765,275
131,766,273
