index,x,y
24,637,323
25,637,320
26,638,310
27,640,300
28,642,290
29,645,283
41,618,273
42,607,273
43,601,276
44,588,278
45,572,282
46,558,286
47,546,292
48,536,297
49,533,297
50,523,306
51,513,313
52,503,322
53,493,332
54,486,342
55,482,343
56,476,355
57,466,368
58,458,383
59,451,396
60,443,410
61,443,411
62,437,427
63,438,370
64,445,317
65,448,276
66,451,248
67,450,246
68,453,222
69,456,202
70,458,187
71,461,175
72,463,166
73,463,163
74,466,156
75,468,148
76,471,143
77,472,140
78,475,138
79,476,138
94,460,247
95,456,258
100,453,318
101,451,333
102,451,348
103,451,353
104,448,368
105,448,387
106,448,405
107,448,421
108,481,387
109,503,366
110,507,363
111,523,343
130,625,298
131,597,315
132,572,330
133,567,332
134,545,346
135,527,357
136,505,375
138,500,345
140,515,315
141,521,290
142,530,272
143,536,257
144,540,248
145,541,246
146,545,238
147,550,231
148,553,226
149,558,223
150,560,221
151,561,220
152,565,220
153,566,221
154,571,222
155,572,225
156,563,238
157,563,240
158,548,255
159,536,271
160,526,287
161,517,303
162,511,318
163,507,320
164,501,335
165,496,350
166,488,367
167,485,383
168,496,368
169,497,368
170,511,327
171,528,298
172,540,278
173,548,263
186,570,220
187,567,220
188,556,222
189,547,226
190,538,228
191,531,233
192,523,236
193,521,238
194,515,243
195,506,251
196,500,258
197,492,270
198,487,278
199,486,280
200,480,291
201,476,303
202,471,316
203,466,328
204,461,341
205,461,343
206,456,356
210,437,315
211,437,311
212,436,276
213,435,251
214,433,230
215,431,212
216,431,197
217,431,193
218,431,182
219,431,171
220,431,161
221,431,156
222,431,151
223,431,148
224,431,145
225,431,145
226,431,143
227,431,143
228,431,143
229,431,145
230,435,146
231,436,148
232,436,152
233,436,156
234,440,161
235,438,163
236,437,173
237,442,177
238,442,181
239,443,186
240,446,196
241,446,197
242,446,203
243,448,212
244,448,222
245,450,230
246,451,238
247,450,243
248,452,255
249,452,262
251,458,296
252,456,302
253,457,306
254,456,320
255,457,335
256,458,351
257,460,368
258,460,383
259,460,385
275,693,310
276,700,315
277,687,297
278,710,321
279,716,333
285,743,386
286,750,400
287,753,410
288,756,408
289,757,408
