index,x,y
23,631,350
24,632,330
25,631,318
26,631,315
27,628,303
28,628,295
29,626,290
65,657,175
66,666,146
67,671,123
68,673,121
69,680,101
70,686,83
71,691,68
72,697,55
73,702,43
74,703,42
75,708,35
76,713,28
77,716,22
78,721,18
79,726,13
80,726,13
81,730,11
82,733,11
83,738,11
84,742,12
85,746,15
86,748,16
87,751,18
88,756,23
89,758,28
90,763,33
91,766,40
92,767,43
93,771,50
94,773,58
95,776,70
96,781,81
97,782,88
98,783,92
99,783,100
100,807,168
101,816,195
102,830,230
103,840,258
104,838,253
105,848,290
106,856,310
107,862,337
108,870,358
109,875,380
110,875,380
111,878,401
112,883,423
113,888,443
114,891,466
115,896,486
116,896,486
120,862,323
121,858,306
122,858,302
123,856,285
124,852,270
125,850,260
126,846,248
127,845,243
128,843,241
129,842,237
139,813,247
153,825,341
154,823,351
155,823,365
156,823,381
157,823,395
158,823,398
159,823,412
160,830,373
163,823,326
165,821,277
166,821,243
167,820,213
168,820,186
169,818,166
170,818,166
171,816,146
172,818,131
173,817,118
174,817,107
175,817,98
176,817,95
177,818,90
178,818,85
179,818,81
180,820,78
181,818,76
182,820,75
183,821,73
184,821,73
185,822,76
186,822,78
187,823,81
188,823,82
189,825,86
190,826,92
191,827,100
192,828,106
193,830,112
194,831,113
201,758,331
202,751,355
203,746,376
204,741,400
205,733,421
207,728,443
208,723,466
209,720,485
213,561,270
214,535,233
215,513,207
216,497,186
217,482,168
218,481,166
219,467,152
220,455,140
221,445,131
222,436,121
223,430,117
224,428,116
225,421,113
226,415,111
227,408,108
228,403,108
229,398,110
230,398,110
231,393,111
232,391,113
233,386,116
234,383,121
235,381,126
236,381,128
237,378,133
238,376,141
239,373,148
240,372,158
241,371,166
242,371,168
243,371,177
244,370,187
245,368,198
246,368,210
247,367,218
248,366,222
249,366,230
250,366,243
251,366,256
252,366,268
253,365,273
254,365,282
255,365,283
256,365,280
257,365,275
258,365,273
259,366,270
260,365,266
261,363,266
262,363,265
263,363,263
264,363,263
265,362,265
