index,x,y
31,622,332
32,621,318
33,621,308
34,621,298
35,620,293
36,621,291
37,621,288
38,621,286
39,621,285
51,561,297
52,553,302
53,550,308
54,543,316
55,542,315
57,538,305
58,542,295
59,540,287
70,543,285
72,565,277
80,655,257
81,667,258
82,677,261
83,688,266
84,696,268
85,701,271
86,707,276
87,716,282
88,725,291
89,733,300
90,741,308
91,743,311
92,751,321
93,758,331
94,766,345
95,771,356
96,778,368
97,778,372
98,785,386
99,791,401
101,776,282
102,771,241
103,772,236
104,765,200
105,761,167
106,758,141
107,755,118
108,752,100
109,751,98
110,750,81
111,748,68
112,746,56
113,743,45
114,742,38
115,741,36
116,741,30
117,741,23
118,738,20
119,738,18
120,737,18
121,737,17
122,736,17
123,736,17
124,736,18
125,736,21
126,736,23
127,736,26
128,736,31
129,736,38
130,736,46
131,736,53
132,735,60
133,736,63
134,736,70
135,736,81
136,736,91
137,736,102
140,787,220
141,807,260
142,826,306
143,842,340
144,853,365
146,867,397
147,877,425
148,886,451
152,887,408
153,880,381
154,876,355
155,872,332
156,871,316
157,868,312
158,866,297
159,861,288
160,861,277
161,858,271
162,856,266
163,856,262
164,853,258
165,853,256
166,851,255
167,850,253
168,848,253
169,848,256
170,847,256
171,846,260
172,846,263
173,843,267
174,841,276
178,845,331
182,778,300
183,773,308
184,766,317
185,761,326
186,756,335
187,753,338
188,748,351
189,743,363
190,742,318
191,740,285
192,742,267
193,742,263
194,742,250
195,745,238
196,746,232
197,746,227
198,747,223
199,747,223
200,733,236
201,717,248
202,695,267
206,648,316
207,636,331
208,623,348
209,613,363
210,605,378
211,603,380
212,595,397
213,586,413
214,581,425
215,581,427
219,657,187
220,668,158
221,677,137
222,683,121
223,686,116
224,692,105
225,700,93
226,706,85
227,711,77
228,716,72
229,716,72
230,721,67
231,726,63
232,731,63
233,733,63
234,738,63
235,738,65
236,743,67
237,746,71
238,751,73
239,753,78
240,756,85
241,758,86
242,761,92
243,763,100
244,766,108
245,770,118
246,771,126
247,772,127
248,782,168
251,807,313
252,813,341
253,812,342
254,820,375
255,822,398
280,793,290
281,793,305
282,793,318
283,793,321
284,793,336
285,795,351
286,795,366
287,796,386
288,796,400
289,796,400
290,781,368
291,767,326
302,710,252
303,712,257
310,726,313
311,726,318
312,726,327
313,727,328
314,727,337
315,726,346
316,726,356
317,726,368
318,726,378
319,726,378
320,726,391
321,726,396
322,723,395
