index,x,y
52,618,278
53,616,282
54,615,283
55,611,287
56,608,291
57,603,298
58,601,306
59,596,313
65,690,278
67,711,275
68,727,272
69,741,270
71,763,268
72,770,267
73,778,271
74,791,273
75,800,276
76,808,281
77,816,286
78,821,286
79,827,291
80,833,296
81,842,286
82,846,275
83,851,271
84,853,271
85,856,268
86,861,265
87,865,263
88,868,263
89,872,266
90,873,266
91,877,267
92,881,271
93,883,276
94,887,281
95,890,287
96,891,291
97,892,296
98,896,306
99,898,316
100,900,330
101,901,338
102,901,341
103,903,353
104,905,368
105,906,383
106,908,400
107,908,412
108,908,413
109,872,391
110,816,330
131,707,225
132,713,227
133,721,231
134,736,241
135,746,248
136,757,257
137,765,266
138,766,268
139,776,278
140,783,288
141,793,301
142,801,313
143,808,326
144,810,327
145,815,338
146,821,351
147,828,366
148,833,383
149,838,400
150,841,398
151,843,415
152,848,433
154,843,313
155,840,266
156,840,263
157,836,223
158,833,192
159,831,163
160,830,140
161,828,121
162,827,117
163,826,101
164,826,86
165,826,76
166,826,65
167,825,58
168,823,56
169,823,51
170,823,45
171,823,41
172,823,38
173,823,37
174,823,36
175,823,36
176,823,38
177,823,40
178,823,41
179,825,46
180,826,46
181,826,51
182,826,57
183,826,63
184,828,71
185,828,78
186,828,81
187,828,88
188,831,98
189,831,107
190,842,178
191,846,177
194,876,250
195,885,280
196,893,305
197,900,327
198,901,330
199,906,352
200,911,371
201,916,395
202,922,415
206,783,302
207,743,277
211,680,238
212,666,230
213,650,222
214,638,221
215,627,216
216,623,216
217,613,216
218,606,216
219,596,216
230,648,290
231,662,301
232,673,313
233,683,326
234,685,327
235,695,340
236,705,352
239,697,270
240,695,272
241,693,261
250,702,207
251,707,195
252,710,192
253,713,181
254,718,172
255,723,166
256,727,161
257,730,156
258,731,155
259,736,153
260,740,153
261,742,153
262,746,156
263,748,157
264,750,158
265,752,161
266,756,166
267,757,173
268,761,181
269,762,191
270,762,191
271,765,201
272,766,212
273,768,225
274,771,238
275,771,251
276,772,253
277,773,266
278,776,282
281,647,276
283,626,271
290,608,275
291,623,272
292,633,272
293,642,273
294,643,273
295,651,278
296,661,281
297,667,285
298,675,290
303,603,262
304,590,257
309,642,250
319,481,253
327,516,323
