index,x,y
37,645,320
38,658,281
39,672,250
40,685,223
41,693,206
42,695,203
43,703,186
44,711,172
45,720,160
46,726,150
47,732,143
48,735,141
49,741,136
50,747,130
51,753,126
52,758,123
53,761,123
54,763,123
55,767,123
56,772,123
57,777,127
58,782,131
59,786,133
60,788,136
61,792,141
62,796,146
63,801,153
64,805,160
65,808,166
66,808,166
67,822,113
68,833,77
69,841,46
70,850,20
71,856,5
72,856,2
98,943,7
99,943,23
100,946,43
101,946,61
102,947,65
103,948,83
104,948,105
105,951,128
106,951,150
107,951,172
108,953,175
109,953,198
110,953,221
111,953,246
112,956,272
113,956,297
114,957,296
115,956,316
116,871,292
117,831,280
118,801,271
130,737,243
132,736,245
133,751,238
134,757,236
135,763,233
136,767,233
137,771,233
138,772,233
139,776,233
140,780,237
141,783,241
142,786,246
143,788,251
144,790,253
145,792,261
146,793,268
147,797,280
148,800,292
149,801,306
150,801,306
151,803,318
152,805,330
157,701,246
158,693,242
159,686,238
160,683,236
163,672,235
164,621,223
190,757,310
191,756,316
192,755,320
193,756,328
194,755,336
195,755,347
196,753,358
197,753,368
198,752,371
199,753,382
200,752,395
