index,x,y
10,662,375
11,663,373
12,662,373
13,663,375
14,662,373
15,663,372
16,663,373
17,662,373
18,662,372
19,662,373
20,662,305
25,678,291
26,677,282
27,685,287
28,700,285
29,711,282
30,721,277
31,726,278
32,736,278
33,746,278
34,755,281
35,762,283
36,771,287
37,775,291
38,785,295
39,791,301
40,801,308
41,806,316
42,793,310
43,792,310
44,770,293
45,752,277
46,737,268
47,722,261
48,712,256
49,711,256
52,660,267
53,660,267
58,625,257
60,602,266
61,598,267
62,588,271
63,582,276
64,571,282
65,563,291
66,558,297
67,556,297
68,546,283
69,538,273
70,536,267
71,533,261
72,532,258
73,532,257
74,530,257
75,530,257
76,527,258
77,526,258
78,517,256
79,513,255
80,500,243
81,490,241
82,478,238
83,468,237
84,463,238
85,458,237
86,453,238
87,446,241
88,438,243
89,433,248
90,431,251
91,428,252
92,423,260
93,418,267
94,413,275
95,410,285
96,405,295
97,407,293
101,635,230
102,657,223
103,660,223
104,681,220
105,693,221
106,802,220
115,776,306
116,780,320
117,787,333
118,793,348
119,800,365
120,806,377
121,806,378
122,811,395
123,816,411
124,821,430
125,798,343
129,755,166
130,746,131
131,738,105
132,733,82
133,733,78
134,728,62
135,723,46
136,720,31
137,716,20
138,713,12
139,713,12
140,711,5
150,695,3
151,695,3
152,693,7
153,691,16
154,691,21
155,691,28
156,691,36
157,691,38
158,691,48
159,690,58
160,688,68
161,690,80
162,688,90
163,691,92
164,693,103
165,721,155
166,742,192
167,766,228
168,785,257
169,785,260
170,801,285
171,816,311
172,827,333
173,842,360
174,853,381
176,863,406
177,873,428
178,882,452
179,891,475
180,900,495
187,655,236
188,637,227
189,618,211
190,602,196
191,588,185
192,575,177
193,575,176
194,562,168
195,552,163
196,541,160
197,535,157
198,528,156
199,526,157
200,521,156
201,515,156
202,511,158
203,506,162
204,500,167
205,498,167
207,538,230
209,566,332
210,577,358
211,578,358
212,588,386
214,606,437
215,612,456
218,605,345
220,593,228
221,590,195
222,588,171
223,587,165
224,586,148
225,586,132
226,585,118
227,583,107
228,583,101
229,583,101
230,583,91
231,583,87
232,583,85
233,583,85
234,583,83
235,583,82
236,585,85
237,585,86
238,586,88
239,585,91
240,586,95
241,586,96
242,587,102
243,588,108
244,588,115
248,558,305
249,553,346
250,550,376
251,545,406
252,547,240
253,547,241
254,550,250
255,555,262
261,663,246
262,676,227
263,683,218
264,691,211
265,695,207
266,700,201
267,708,196
268,713,191
269,721,188
270,726,187
271,727,187
272,732,186
273,738,188
274,743,191
275,747,193
276,751,196
277,753,198
278,757,201
279,761,206
280,765,213
281,761,230
290,682,332
293,685,340
294,695,330
295,697,326
296,708,313
297,717,302
298,725,298
310,781,310
311,785,315
315,716,241
316,697,220
317,677,201
318,662,185
319,658,183
320,643,171
321,630,160
322,615,150
323,602,143
324,593,138
325,587,140
326,578,136
327,568,133
328,560,132
329,551,133
332,533,141
333,527,145
334,517,152
335,508,161
336,502,168
337,501,171
338,493,182
339,486,195
340,478,211
341,473,225
342,467,238
343,466,242
344,462,257
345,456,273
346,451,293
347,447,315
352,621,282
370,761,303
371,761,313
373,767,323
374,770,330
375,772,338
377,736,257
378,721,223
379,721,221
380,706,188
381,692,163
382,681,140
383,671,121
384,661,103
385,660,102
386,653,88
387,645,77
388,636,66
389,631,58
390,623,53
391,621,51
392,616,47
393,608,46
394,602,43
395,598,43
396,592,45
397,590,46
398,586,50
399,581,53
400,573,61
401,568,68
402,563,75
403,562,77
404,557,87
405,552,100
406,547,113
407,543,126
408,538,141
409,537,142
410,535,163
411,531,181
412,526,200
413,523,221
414,520,241
415,521,243
416,518,258
420,510,352
421,508,348
423,482,293
424,475,275
425,471,262
426,468,257
427,468,255
428,466,251
429,463,247
430,502,232
431,496,236
432,486,248
433,486,250
434,481,253
440,590,301
441,606,311
442,620,323
443,632,332
444,645,342
445,646,342
446,647,328
448,632,296
460,627,278
461,628,283
462,627,286
463,628,286
464,628,292
465,627,298
466,627,307
467,627,316
471,608,247
472,601,222
473,595,200
474,591,183
475,590,182
476,586,168
477,581,158
478,578,147
479,577,141
480,573,133
481,573,132
482,571,130
483,568,127
484,568,126
485,566,126
486,565,126
487,562,126
488,561,130
489,558,131
490,556,140
491,553,148
492,551,156
493,551,158
494,551,166
495,548,178
496,546,193
497,546,206
498,545,221
499,545,221
500,543,238
501,542,253
503,546,341
512,765,260
513,773,261
514,780,261
515,782,261
516,785,261
517,786,262
518,787,263
519,791,266
520,793,270
521,793,275
522,796,277
523,796,280
524,798,285
525,798,291
526,801,298
527,801,310
528,802,317
529,802,317
530,806,327
531,806,341
532,806,353
533,806,365
534,808,377
535,810,378
536,808,338
538,807,280
539,808,265
543,811,242
544,811,237
545,808,235
549,711,265
550,688,272
551,670,281
552,650,291
553,652,291
554,635,302
555,620,312
556,606,321
557,607,313
560,648,280
562,673,262
563,681,258
564,686,257
565,687,257
566,693,257
567,700,257
568,703,256
569,708,257
570,717,253
571,718,253
572,721,255
573,723,256
574,726,258
575,728,261
576,731,263
577,733,266
590,758,381
591,761,395
592,761,325
593,763,271
594,763,237
595,763,233
596,766,202
597,766,176
598,766,156
599,767,138
600,768,127
601,768,123
602,770,113
603,771,103
604,771,97
605,771,91
606,771,88
607,773,86
608,773,83
609,775,82
610,776,81
611,776,83
612,776,85
613,778,86
614,778,88
615,780,91
616,781,96
617,781,101
618,782,107
619,782,108
620,783,116
621,785,123
622,795,178
623,798,198
624,801,201
625,811,273
627,827,338
628,835,367
629,838,392
635,612,380
636,577,377
638,542,375
639,515,373
640,491,372
641,472,373
642,451,377
644,435,380
645,422,382
650,378,378
651,372,377
652,365,376
653,358,376
654,352,377
655,351,376
656,345,375
657,340,372
658,336,371
659,331,371
