index,x,y
27,662,296
28,657,292
29,656,291
31,592,245
50,638,253
51,636,255
52,626,256
53,620,260
54,611,265
55,603,271
56,598,276
57,593,278
58,588,286
59,583,293
60,577,305
61,571,316
62,567,323
63,566,328
64,561,338
65,557,351
66,553,367
72,688,240
73,683,241
74,696,231
75,697,230
76,707,225
77,717,218
84,651,358
85,646,373
86,641,393
98,750,256
99,753,257
101,765,251
102,768,252
103,778,255
104,775,255
105,773,253
106,777,257
107,776,260
114,775,312
115,777,325
126,631,303
127,618,301
128,616,303
129,615,305
130,607,310
131,606,311
132,603,316
133,600,321
134,596,328
135,595,331
136,592,338
137,586,347
138,582,357
139,578,368
140,570,410
141,570,406
142,572,398
143,571,408
144,571,408
149,642,266
150,570,410
151,570,410
152,570,410
153,570,410
160,568,411
