index,x,y
10,650,336
11,657,321
12,663,308
13,666,307
14,673,300
15,681,293
20,590,343
21,585,351
22,583,360
28,603,291
29,585,297
30,568,303
31,565,306
32,550,313
33,535,320
34,520,330
35,507,341
36,497,350
37,492,353
38,483,363
39,473,373
40,475,336
41,477,313
42,477,298
43,478,293
44,480,282
45,482,272
46,486,265
47,486,258
48,486,256
49,487,256
50,490,253
51,491,251
52,492,252
53,493,252
54,493,255
55,495,256
56,496,257
57,497,260
58,495,261
59,491,258
60,483,248
61,480,248
62,475,248
63,471,246
64,466,246
65,462,247
66,458,248
67,457,250
68,453,253
69,451,256
70,446,261
71,442,266
72,441,273
73,440,275
74,437,285
75,433,293
76,433,303
77,428,315
80,430,293
81,438,277
82,438,266
83,438,261
84,441,257
85,441,256
86,443,251
87,445,251
88,446,248
89,447,248
90,450,250
91,451,250
92,451,251
93,451,253
94,453,257
95,451,261
96,443,256
97,441,257
98,436,256
99,431,257
100,426,261
101,423,261
102,421,263
103,418,266
104,416,270
105,413,276
106,411,283
107,408,291
108,407,298
109,406,300
110,403,310
111,401,321
112,401,331
119,673,238
121,687,240
122,690,245
123,687,252
124,687,260
125,686,267
126,687,277
144,747,275
145,750,275
146,751,277
147,755,281
148,751,286
155,605,276
156,591,278
157,588,278
158,572,282
159,557,288
160,540,295
161,526,303
162,517,310
163,513,311
164,501,321
165,490,330
166,478,342
167,468,351
168,460,362
169,458,365
170,448,378
171,441,392
173,421,420
174,417,430
177,435,188
178,437,126
179,441,87
180,445,33
181,443,32
182,446,6
222,536,5
223,537,6
224,540,18
225,541,32
226,543,47
227,546,61
228,548,73
229,547,76
230,548,88
232,665,197
233,703,230
234,736,262
235,740,265
236,765,291
237,790,316
238,812,341
239,833,365
240,850,383
242,865,405
243,880,427
244,893,448
245,906,470
246,918,490
247,921,491
249,942,532
250,952,560
251,963,585
252,968,590
253,971,590
254,976,586
255,978,582
256,983,580
257,986,580
258,987,581
259,990,582
260,993,585
261,996,588
262,998,593
263,1002,601
264,1005,603
265,1006,605
266,1008,603
267,1010,602
