index,x,y
24,642,300
29,641,286
40,641,270
41,642,271
42,638,271
43,636,272
44,632,275
46,607,286
47,593,293
48,578,301
49,566,311
50,558,318
51,556,318
52,546,330
53,536,340
54,528,351
55,522,361
56,511,327
57,510,322
58,498,300
59,493,281
60,487,271
61,483,261
62,481,255
63,480,252
64,477,248
65,476,246
66,475,243
67,473,245
68,472,245
69,472,245
70,472,247
71,473,250
72,470,251
73,466,251
74,463,248
75,460,248
76,456,250
77,451,251
78,446,253
79,443,256
80,442,261
81,441,261
82,438,265
83,436,270
84,435,276
85,433,283
86,431,291
87,430,295
88,427,301
89,426,307
90,467,366
94,620,257
95,640,256
96,658,253
97,675,255
98,683,256
99,685,256
104,588,263
105,588,263
106,577,267
107,566,272
108,555,277
109,548,283
110,538,291
111,536,293
112,528,302
113,521,311
114,513,322
115,506,333
116,501,346
117,500,346
118,497,345
119,511,298
120,520,278
121,526,265
122,530,257
123,531,253
124,533,248
125,537,246
126,540,242
130,546,243
131,557,250
140,638,327
141,637,326
142,642,316
143,638,303
144,637,291
145,637,285
146,637,280
147,636,280
148,635,277
149,636,273
150,637,276
151,637,277
152,636,277
153,636,278
154,636,280
155,636,282
156,636,286
157,636,291
158,637,297
159,637,297
162,608,271
163,592,251
164,577,235
165,576,232
166,565,221
167,553,211
168,545,203
169,536,196
170,528,191
171,526,191
172,520,187
173,512,186
174,505,186
175,498,187
176,493,188
177,491,191
178,486,196
179,480,201
180,476,207
181,471,216
182,466,223
183,463,226
184,458,236
185,453,248
186,451,261
187,446,276
188,441,292
189,441,291
190,438,308
191,436,327
192,435,338
193,452,298
194,460,286
195,461,285
196,466,277
197,470,273
198,473,271
201,481,265
202,481,266
203,482,267
204,483,268
205,483,271
206,485,273
207,486,276
208,486,278
209,486,285
210,487,288
211,488,296
212,488,301
213,488,303
214,488,308
215,491,318
216,502,311
226,582,258
234,690,303
235,702,313
236,711,323
237,713,325
238,722,336
239,730,347
240,738,358
241,748,372
242,752,380
243,753,381
245,746,337
246,740,317
247,735,307
248,737,300
249,733,297
250,748,258
252,738,270
262,698,276
263,678,278
264,660,278
290,788,345
291,791,346
292,792,348
293,796,348
294,798,351
295,802,356
296,803,358
297,806,360
298,807,365
299,810,362
