index,x,y
23,570,320
24,562,310
25,555,303
26,553,302
29,526,278
32,512,272
33,507,271
34,502,271
35,496,273
36,492,276
37,488,278
38,486,281
39,483,283
40,477,290
41,475,296
45,471,272
46,476,231
47,478,203
48,483,180
49,486,158
50,486,158
51,488,141
52,491,126
53,493,112
54,496,102
55,500,93
56,501,90
57,503,83
58,506,78
59,510,73
60,512,71
61,515,70
62,517,70
63,518,71
64,521,72
65,523,76
66,526,81
67,528,86
68,528,88
69,531,96
70,533,106
71,536,116
72,538,127
73,541,141
74,540,143
75,542,158
76,546,173
77,547,191
78,547,211
88,480,266
89,476,263
92,465,270
93,462,271
94,461,273
95,461,276
96,457,280
100,452,301
101,452,307
105,543,246
106,565,236
107,587,227
108,605,221
109,621,215
110,622,213
111,637,211
112,651,208
113,665,207
114,678,208
115,690,208
116,692,211
117,703,213
118,715,217
119,728,223
123,758,252
124,768,263
125,778,276
126,787,290
127,793,301
128,795,303
129,802,317
130,810,331
132,726,272
133,711,263
134,706,261
135,692,251
136,681,243
137,673,241
138,666,238
139,662,236
142,637,228
143,621,211
144,602,200
145,587,191
146,583,191
147,571,182
148,558,176
149,546,173
150,536,171
151,528,170
152,523,171
153,517,170
154,507,171
155,500,173
156,492,177
157,486,181
158,483,183
159,478,190
160,471,196
161,466,203
162,460,213
163,453,225
164,452,226
165,447,237
166,441,251
167,436,263
168,432,278
169,430,291
170,431,288
171,467,275
172,485,271
173,497,265
180,530,286
181,531,297
182,533,302
183,533,310
184,536,321
185,538,332
186,541,345
187,543,355
188,545,358
189,546,370
210,583,491
211,586,492
212,586,492
213,586,493
214,587,493
215,586,493
