index,x,y
32,595,290
33,595,292
34,591,297
35,586,303
36,581,310
37,572,321
38,571,328
39,571,328
40,560,331
41,547,317
42,542,305
43,536,293
44,531,286
45,530,283
46,526,280
47,522,277
48,520,275
49,515,275
52,507,277
53,503,278
54,498,278
55,492,278
56,487,278
57,485,277
58,481,277
59,478,277
60,477,280
61,473,283
62,471,286
63,470,286
64,463,293
65,461,296
66,457,305
67,453,313
68,451,323
69,451,323
70,450,333
71,446,345
72,443,357
76,476,296
77,501,243
78,518,206
79,533,172
80,548,145
81,550,141
82,561,122
83,573,102
84,583,86
85,593,72
86,601,60
87,603,58
88,611,48
89,621,41
90,628,32
91,637,26
92,642,23
93,646,22
94,650,21
95,657,20
96,663,20
97,672,21
98,678,23
99,677,25
100,683,26
101,690,31
102,696,36
103,701,42
104,706,48
105,707,51
106,711,56
107,716,66
108,721,76
109,725,83
110,730,93
111,730,95
112,730,97
115,813,276
116,828,308
117,781,200
118,843,341
119,855,368
120,865,393
121,876,421
122,881,438
123,883,440
124,850,360
125,836,318
138,807,303
139,816,327
140,823,347
141,823,350
142,830,371
143,836,391
144,795,352
149,670,217
150,652,201
151,637,190
152,625,181
153,625,178
154,613,172
155,603,166
156,593,161
157,586,158
158,581,158
159,578,158
160,575,158
161,568,158
162,563,158
163,558,162
164,555,165
165,555,166
166,551,170
167,548,176
173,571,265
174,581,301
175,580,301
176,583,312
177,585,315
178,588,328
179,593,342
191,593,232
192,593,232
194,606,228
196,622,228
197,636,230
198,653,230
199,667,231
200,680,233
201,682,235
202,693,240
203,706,246
204,718,253
205,731,261
206,740,267
207,742,270
208,751,278
209,758,287
210,767,298
211,778,311
212,785,322
213,786,325
214,795,335
215,798,342
216,802,315
217,803,300
218,801,290
219,801,287
220,805,278
221,808,270
222,811,263
223,811,260
224,812,256
225,813,255
226,813,253
227,816,253
228,817,253
229,818,255
230,821,257
231,821,258
232,821,260
233,821,265
234,823,270
235,823,277
236,825,283
237,825,286
238,826,291
241,730,226
242,708,215
244,687,201
245,668,193
246,652,187
247,636,183
248,625,180
249,621,180
250,608,178
251,597,178
252,586,178
253,576,181
254,566,186
255,563,186
256,555,192
257,543,198
258,533,206
259,526,216
260,518,225
261,516,226
262,508,237
263,501,250
264,495,261
265,487,277
266,481,291
267,480,296
268,475,310
271,595,263
272,610,256
273,615,256
274,627,251
275,638,248
276,647,248
277,656,250
283,660,255
284,635,241
285,628,238
286,613,233
287,593,226
288,577,222
291,542,220
292,540,216
293,526,218
294,515,220
295,505,223
296,496,226
297,493,227
298,487,231
299,478,238
300,471,246
301,463,252
302,456,260
303,455,262
304,448,271
305,442,282
306,436,295
307,431,305
308,425,317
312,456,286
313,493,235
314,516,201
315,518,198
316,542,166
317,562,142
318,581,123
319,596,106
320,608,93
321,610,91
322,622,81
323,635,71
324,646,63
325,657,58
326,665,55
327,668,55
328,673,51
329,682,51
330,691,50
331,698,51
332,703,51
333,706,53
334,712,56
335,720,61
336,726,65
337,733,71
338,737,76
339,738,77
340,743,83
341,748,91
342,753,101
343,758,110
344,761,118
345,761,120
352,735,267
353,733,286
354,731,303
355,728,321
356,727,336
357,726,341
358,726,357
359,722,375
360,721,393
368,772,217
369,773,217
380,808,162
381,808,163
382,811,167
383,810,178
384,808,183
385,810,196
386,811,205
387,811,208
388,811,217
389,811,230
390,811,240
391,812,251
392,812,262
393,812,265
394,812,276
395,812,291
396,813,306
397,813,321
398,812,335
399,812,335
400,815,332
401,817,320
402,816,307
403,816,302
404,817,300
405,817,298
406,820,295
407,821,291
408,821,283
409,823,283
410,821,287
411,823,287
412,826,290
413,826,291
414,826,291
415,826,295
416,827,300
417,827,302
418,828,302
419,827,298
420,830,290
421,828,285
422,826,275
423,826,271
424,827,266
425,827,265
426,827,262
427,827,263
428,826,263
429,826,266
430,826,265
431,826,268
434,686,342
435,690,340
436,651,365
437,622,376
438,607,365
439,596,356
440,586,352
441,583,352
442,573,347
443,562,343
444,552,338
445,545,337
446,537,336
447,533,336
448,528,335
449,521,336
450,511,338
451,505,341
452,501,343
453,498,345
454,495,347
455,491,346
456,488,345
457,485,343
458,483,342
459,483,343
460,482,345
461,482,345
462,482,346
463,481,346
464,481,346
465,481,347
