rally,ball_round,time,start_frame,end_frame,roundscore_AB,roundscore_CD,player,server,ball_type,backhand,hit_height,hit_x,hit_y,return_height,return_x,return_y,player_A_x,player_A_y,player_B_x,player_B_y,player_C_x,player_C_y,player_D_x,player_D_y,lose_reason,fault_player,score_reason,score_team,flaw,db
1,1,00:11:13,20195,20214,0,1,D,1,發短球,1,2,0,0,2,748,448,713,494,587,503,664,310,618,366,,,,,0,0
1,2,00:11:13,20214,20227,0,1,A,2,推撲球,0,2,748,448,1,799,358,694,472,596,500,668,308,636,356,,,,,0,0
1,3,00:11:14,20227,20236,0,1,D,2,殺球,0,1,799,358,2,744,486,696,464,580,524,694,310,686,370,,,,,0,0
1,4,00:11:14,20236,20254,0,1,A,2,網前小球,0,2,744,486,1,776,367,723,488,545,545,741,308,736,360,,,,,0,0
1,5,00:11:15,20254,20264,0,1,D,2,殺球,0,1,776,367,2,580,541,673,488,546,569,730,319,788,370,,,,,0,0
1,6,00:11:15,20264,20284,0,1,B,2,網前小球,1,2,580,541,1,656,366,673,521,530,574,707,320,778,355,,,,,0,0
1,7,00:11:16,20284,20293,0,1,D,2,推撲球,0,1,656,366,2,628,527,664,555,518,577,632,334,742,362,,,,,0,0
1,8,00:11:16,20293,20309,0,1,A,2,平球,1,2,628,527,1,643,317,664,563,520,579,626,332,711,357,,,,,0,0
1,9,00:11:16,20309,20322,0,1,C,3,殺球,0,1,643,317,2,604,556,689,550,518,562,634,311,628,363,對手落地致勝,B,落地致勝,CD,0,0
2,1,00:11:34,20829,20846,0,2,D,1,發短球,1,2,0,0,2,599,450,655,519,532,502,636,323,665,365,,,,,0,0
2,2,00:11:34,20846,20859,0,2,B,2,網前小球,0,2,599,450,2,620,380,646,520,544,486,634,324,658,366,,,,,0,0
2,3,00:11:35,20859,20875,0,2,D,2,網前小球,0,2,620,380,2,520,506,628,547,572,455,646,324,604,365,,,,,0,0
2,4,00:11:35,20875,20886,0,2,A,2,平球,1,2,520,506,1,725,368,579,536,626,469,635,325,593,366,,,,,0,0
2,5,00:11:36,20886,20900,0,2,D,2,平球,1,1,725,368,2,750,539,550,530,631,493,638,323,652,370,,,,,0,0
2,6,00:11:36,20900,20924,0,2,A,2,網前小球,0,2,750,539,1,513,388,651,544,672,491,674,330,759,372,,,,,0,0
2,7,00:11:37,20924,20949,0,2,C,3,網前小球,0,1,513,388,2,446,481,649,560,663,494,568,362,770,363,對手落地致勝,A,落地致勝,CD,0,0
3,1,00:11:54,21421,21448,1,2,D,3,發短球,1,2,0,0,2,693,409,716,496,592,502,658,311,617,369,未過網,D,對手未過網,AB,0,0
4,1,00:12:15,22070,22098,1,3,B,3,發短球,1,2,0,0,2,650,375,638,548,630,484,716,354,597,346,出界,B,對手出界,CD,0,0
5,1,00:12:31,22545,22581,2,3,C,3,發長球,1,2,0,0,2,444,548,651,517,529,500,656,336,592,364,犯規,C,對手犯規,AB,0,0
6,1,00:12:52,23180,23198,2,4,A,1,發短球,1,2,0,0,2,610,386,650,511,578,473,649,339,563,347,,,,,0,0
